EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,accX,accY,accZ,oriX,oriY,oriZ,oriW,gyrX,gyrY,gyrZ,Class,Subject
-4,-4,-21,-18,-1,0,-6,-2,0.319335938,-0.469238281,0.80859375,-0.233154297,0.052246094,-0.758178711,0.606689453,-34.8125,119.5625,-74.8125,1,1
2,2,8,-5,0,-2,-25,5,0.244140625,-0.435058594,0.80078125,-0.222717285,0.066345215,-0.769165039,0.595275879,-35.4375,112.625,-66.375,1,1
-3,-2,4,2,-1,-4,2,-1,0.187011719,-0.465820313,0.811523438,-0.214416504,0.080566406,-0.778015137,0.585021973,-36.375,98.25,-57.3125,1,1
-6,-3,-10,-13,-3,-6,0,-1,0.231445313,-0.482421875,0.760742188,-0.208618164,0.094604492,-0.785827637,0.574462891,-42.9375,90.125,-54.625,1,1
-2,-3,7,4,-2,-2,6,-1,0.202636719,-0.487304688,0.732910156,-0.203491211,0.109130859,-0.792541504,0.564453125,-47.3125,86.75,-48.0625,1,1
-4,-4,-15,-4,-1,-7,-5,-6,0.1171875,-0.5625,0.741210938,-0.198059082,0.123352051,-0.797973633,0.555725098,-40.1875,80.3125,-41.125,1,1
-5,-6,-1,-4,-2,-5,0,-2,0.1328125,-0.56640625,0.701660156,-0.19317627,0.135070801,-0.802429199,0.548278809,-29.0625,70.125,-34,1,1
-1,-5,-2,-4,-9,-13,-7,4,0.186523438,-0.542480469,0.737792969,-0.188781738,0.144897461,-0.805847168,0.542175293,-24.625,63.625,-24.5625,1,1
-1,-5,-3,4,1,-1,-1,-3,0.123535156,-0.537109375,0.729003906,-0.183837891,0.155029297,-0.808532715,0.53704834,-24.4375,62.1875,-18.1875,1,1
-7,-1,-5,-7,0,-8,-11,-1,0.049804688,-0.522460938,0.724609375,-0.178771973,0.164245605,-0.810180664,0.533508301,-20.5,54,-9.875,1,1
0,-2,0,-10,-4,-12,-8,0,0.01953125,-0.526367188,0.776367188,-0.174377441,0.173339844,-0.810852051,0.53112793,-23.3125,46.875,-2.8125,1,1
